n_blocks,insert_bps,erase_bps
837,1.0359e+07,2.3825e+07
839,1.375e+06,2.3825e+07
838,1.375e+06,7.87805e+06
840,5.72662e+06,7.87805e+06
842,9.68182e+06,7.87805e+06
842,9.68182e+06,1.09434e+07
844,2.13483e+06,1.09434e+07
846,988764,1.09434e+07
848,2.29412e+06,1.09434e+07
850,2.65758e+07,1.09434e+07
852,2.93985e+06,1.09434e+07
852,2.93985e+06,7.44828e+06
852,2.93985e+06,2.712e+08
854,1.53939e+07,2.712e+08
854,1.53939e+07,4.75862e+06
854,1.53939e+07,4.51266e+06
856,2.0303e+07,4.51266e+06
856,2.0303e+07,2.5e+06
858,1e+07,2.5e+06
860,3.64516e+06,2.5e+06
862,1.0949e+07,2.5e+06
862,1.0949e+07,1.08333e+07
862,1.0949e+07,1.448e+07
862,1.0949e+07,1.27245e+07
864,2.31795e+07,1.27245e+07
866,1.88902e+07,1.27245e+07
865,1.88902e+07,7.10645e+07
867,1.69143e+07,7.10645e+07
869,1.96769e+07,7.10645e+07
868,1.96769e+07,4.54706e+07
870,1.85667e+08,4.54706e+07
868,1.85667e+08,7.88824e+07
870,1.75789e+06,7.88824e+07
869,1.75789e+06,5.59e+07
871,7.82222e+06,5.59e+07
873,542857,5.59e+07
875,2e+07,5.59e+07
875,2e+07,5.13214e+07
877,3.7e+07,5.13214e+07
879,8.35849e+06,5.13214e+07
879,8.35849e+06,2.63056e+07
879,8.35849e+06,1.59583e+07
881,6.71579e+06,1.59583e+07
881,6.71579e+06,2.45977e+06
883,2.466e+07,2.45977e+06
879,2.466e+07,3.64038e+07
882,6.14074e+07,3.64038e+07
882,6.14074e+07,4.4e+07
884,1.16806e+07,4.4e+07
884,1.16806e+07,6.6e+07
884,1.16806e+07,8.61017e+06
886,1.69211e+07,8.61017e+06
888,2.47262e+07,8.61017e+06
887,2.47262e+07,3.33438e+07
889,2.584e+07,3.33438e+07
891,2.63676e+07,3.33438e+07
891,2.63676e+07,1.33167e+08
891,2.63676e+07,1.41e+08
893,1.48812e+07,1.41e+08
895,1.30517e+07,1.41e+08
895,1.30517e+07,1.11613e+07
895,1.30517e+07,1.15455e+07
895,1.30517e+07,1.22581e+07
897,3.02424e+07,1.22581e+07
896,3.02424e+07,2.05941e+07
898,4.25667e+07,2.05941e+07
898,4.25667e+07,4.63889e+06
898,4.25667e+07,2.31364e+07
900,9.9e+07,2.31364e+07
900,9.9e+07,9.56863e+06
902,9.36765e+06,9.56863e+06
902,9.36765e+06,1.7541e+06
902,9.36765e+06,3.50204e+07
902,9.36765e+06,2.51456e+06
904,1.74098e+07,2.51456e+06
904,1.74098e+07,7.8169e+06
